country,year,dependency_ratio,gdp_growth,pop_growth,working_age_share,log_gdp_pc_lag1,investment_gdp_lag1,trade_gdp_lag1,inflation_log_lag1,is_global_crisis
ABW,2003,42.8753336810776,1.11050459944282,1.13822893851655,69.9913335499946,10.258902941749522,26.629979781872,133.230771421249,1.4621545154501867,0
ABW,2004,42.6913039565648,7.29372807096192,2.13535781849357,70.0812659246346,10.258564490065902,28.8817040907799,132.794291274023,1.5382351178758498,0
ABW,2005,42.6369612856099,-0.383137672063768,2.59075665615847,70.1082457815982,10.307610921546775,28.4513918843887,132.430929795173,1.261051231276511,0
ABW,2006,42.7685060178669,1.12741146411624,1.79663785158395,70.0432423932699,10.277864619739226,33.160442199198,145.050280144237,1.4811014094402608,0
ABW,2007,42.9917617327489,3.0895443848509,0.746664790352749,69.9343596964395,10.27110927669914,34.5191296544988,141.042626734626,1.5277992158807587,0
ABW,2008,43.260508496231,1.83575517191368,0.762933470313563,69.8030254231656,10.294070416319773,31.746651038248,139.972309491093,1.8551360413071996,0
ABW,2009,43.5354448619784,-11.6777413693852,0.678450763317743,69.6689236610772,10.304632167664872,32.1030557196345,139.110149824701,2.2981740839598874,1
ABW,2010,43.4533955008381,-2.73345679250639,0.230041095930877,69.7093798538659,10.173669629508701,29.6421797785745,137.556575933708,-1.142765917675841,0
ABW,2011,43.0477704342006,3.36923718421511,0.736689418341162,69.9067151246274,10.143654110695536,28.2831797071863,135.464654677581,1.1243257519180856,0
ABW,2012,42.8649842877335,-1.04079988436683,1.46978228958006,69.9961184511146,10.169424435607478,27.4166371579459,154.437786862887,1.670777087734406,0
ABW,2013,43.0385229703024,6.43146080719245,1.49203139661921,69.911025522268,10.14426407186926,23.5225068320821,156.645197205944,0.48702788628484944,0
ABW,2014,43.5153583617747,1.42609951155575,1.06551209965487,69.6785895668577,10.191674789394664,23.825859897396,155.731904522973,-1.2155253882687465,0
ABW,2015,44.2477876106195,3.61147906591042,1.02370103122312,69.3250915443276,10.195179932080267,23.1114410000278,156.491052864098,0.35167108872755964,0
ABW,2016,45.1551319021681,1.23433537363427,0.75796755862231,68.8920853714879,10.220420861261761,21.538867068293,140.493001133496,0.38849770395865535,0
