Time,Electric_demand,Temperature,Humidity,Wind_speed,GHI,PV_production,Wind_production
2020-12-08 04:00:00,20615.166666666668,9.96,36.92416666666667,1.9616666666666667,0.0,-45.0,1106.8333333333333
2020-12-08 05:00:00,21876.5,9.901666666666667,36.4125,1.9750000000000003,0.0,-46.0,1315.25
2020-12-08 06:00:00,23995.166666666668,10.101666666666667,35.66916666666667,1.9916666666666665,0.9,-17.333333333333332,1307.0833333333333
2020-12-08 07:00:00,25300.083333333332,11.566666666666668,34.016333333333336,2.12,50.050000000000004,1092.75,1190.0833333333333
2020-12-08 08:00:00,25497.666666666668,14.256666666666668,30.987833333333338,2.4383333333333335,182.01666666666665,4117.916666666667,1038.5833333333333
2020-12-08 09:00:00,24769.0,16.79,26.5605,2.705,326.3833333333333,5210.333333333333,1106.4166666666667
2020-12-08 10:00:00,24240.75,18.623333333333335,23.330833333333334,2.8183333333333334,410.9666666666667,5165.166666666667,1102.5
2020-12-08 11:00:00,24019.75,19.733333333333334,22.375333333333334,2.8400000000000003,499.1833333333334,5897.416666666667,1009.5833333333334
2020-12-08 12:00:00,23933.583333333332,20.136666666666667,22.24083333333333,2.6833333333333336,486.06666666666666,5482.25,1128.75
2020-12-08 13:00:00,24037.666666666668,19.87333333333333,23.004333333333335,2.3316666666666666,393.75,4997.583333333333,1050.75
2020-12-08 14:00:00,24582.0,18.678333333333335,26.690833333333334,1.7966666666666669,267.18333333333334,4162.083333333333,929.0833333333334
2020-12-08 15:00:00,25370.5,17.740000000000002,30.708,1.5000000000000007,122.96666666666665,2453.9166666666665,1016.5833333333334
2020-12-08 16:00:00,26574.75,14.83,35.80433333333334,1.485,18.266666666666666,220.25,879.0
2020-12-08 17:00:00,28954.25,13.850000000000001,37.8415,1.415,0.0,-42.416666666666664,909.75
2020-12-08 18:00:00,28892.916666666668,13.326666666666668,39.238,1.3833333333333335,0.0,-40.166666666666664,1128.25
2020-12-08 19:00:00,28171.0,13.098333333333334,40.15383333333333,1.3900000000000003,0.0,-39.0,1212.75
2020-12-08 20:00:00,27225.25,12.965000000000002,41.346333333333334,1.4283333333333335,0.0,-39.0,1176.1666666666667
2020-12-08 21:00:00,26062.333333333332,12.728333333333333,43.0505,1.47,0.0,-39.0,1114.0
2020-12-08 22:00:00,24320.166666666668,12.441666666666668,44.71366666666666,1.4800000000000002,0.0,-39.166666666666664,1074.4166666666667
2020-12-08 23:00:00,22590.916666666668,12.158333333333333,46.00483333333333,1.5266666666666666,0.0,-39.75,1043.4166666666667
2020-12-09 00:00:00,21385.416666666668,11.854999999999999,46.903333333333336,1.57,0.0,-40.0,1016.3333333333334
2020-12-09 01:00:00,20761.916666666668,11.604999999999999,47.30783333333334,1.6333333333333335,0.0,-40.5,947.5
2020-12-09 02:00:00,20453.833333333332,11.418333333333335,47.40916666666667,1.7283333333333333,0.0,-40.833333333333336,922.1666666666666
2020-12-09 03:00:00,20386.583333333332,11.205,47.59766666666667,1.7950000000000002,0.0,-41.166666666666664,873.0
2020-12-09 04:00:00,20824.416666666668,10.995,47.65083333333333,1.7850000000000001,0.0,-40.25,788.3333333333334
2020-12-09 05:00:00,22196.416666666668,10.768333333333333,47.400000000000006,1.8200000000000003,0.0,-39.083333333333336,679.6666666666666
2020-12-09 06:00:00,24269.25,10.773333333333333,46.467000000000006,1.9183333333333332,0.6333333333333333,-11.166666666666666,589.9166666666666
2020-12-09 07:00:00,25603.416666666668,11.831666666666669,44.1715,2.1166666666666667,41.983333333333334,1223.4166666666667,566.0833333333334
2020-12-09 08:00:00,25652.0,13.885,40.75783333333333,2.365,171.35,4504.416666666667,552.3333333333334
2020-12-09 09:00:00,24772.916666666668,15.901666666666669,36.489333333333335,2.5450000000000004,282.15000000000003,6270.25,400.6666666666667
2020-12-09 10:00:00,23980.666666666668,17.47,32.97116666666667,2.6683333333333334,373.95,7131.666666666667,466.25
2020-12-09 11:00:00,23341.5,18.32,31.954333333333334,2.72,398.56666666666666,6974.25,429.5833333333333
2020-12-09 12:00:00,23357.833333333332,18.498333333333335,32.078833333333336,2.676666666666667,403.0,6757.333333333333,460.6666666666667
2020-12-09 13:00:00,23704.416666666668,18.183333333333334,33.370666666666665,2.4983333333333335,321.59999999999997,6392.333333333333,450.0
2020-12-09 14:00:00,24231.666666666668,17.12,37.48616666666667,2.29,245.4333333333333,5812.5,459.9166666666667
2020-12-09 15:00:00,25207.916666666668,16.26,41.252,2.22,118.53333333333335,2720.1666666666665,345.9166666666667
2020-12-09 16:00:00,26171.5,13.823333333333332,47.285666666666664,2.333333333333334,20.066666666666666,297.0833333333333,356.8333333333333
2020-12-09 17:00:00,28538.666666666668,12.906666666666666,50.43533333333334,2.256666666666667,0.0,-39.5,327.0833333333333
2020-12-09 18:00:00,28729.083333333332,12.335,53.090833333333336,2.0766666666666667,0.0,-37.083333333333336,567.0
2020-12-09 19:00:00,28097.75,11.948333333333332,54.74916666666667,1.905,0.0,-36.0,808.0
2020-12-09 20:00:00,27266.25,11.696666666666667,55.56116666666667,1.8066666666666666,0.0,-36.0,1158.6666666666667
2020-12-09 21:00:00,26152.083333333332,11.410000000000002,56.07833333333334,1.75,0.0,-36.0,1277.75
2020-12-09 22:00:00,24528.333333333332,11.113333333333335,56.19716666666667,1.71,0.0,-36.0,1335.3333333333333
2020-12-09 23:00:00,22814.583333333332,10.766666666666667,56.12833333333333,1.6683333333333332,0.0,-36.083333333333336,1200.5
2020-12-10 00:00:00,21706.75,10.213333333333333,56.308,1.6216666666666668,0.0,-36.75,1372.9166666666667
2020-12-10 01:00:00,20944.166666666668,9.766666666666667,56.089666666666666,1.59,0.0,-37.0,1910.5833333333333
2020-12-10 02:00:00,20572.083333333332,9.581666666666667,55.51983333333334,1.545,0.0,-36.916666666666664,1700.9166666666667
2020-12-10 03:00:00,20484.083333333332,9.428333333333335,55.175000000000004,1.5666666666666667,0.0,-38.333333333333336,1463.9166666666667
2020-12-10 04:00:00,20923.5,9.163333333333332,54.93383333333333,1.6433333333333333,0.0,-39.083333333333336,1306.5
2020-12-10 05:00:00,22251.75,8.796666666666667,54.89316666666667,1.7733333333333334,0.0,-39.833333333333336,1397.9166666666667
