Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-20 07:00:00,27516.583333333332,25515.04580482129,27030.875632218813,26806.109669103687
2021-12-20 08:00:00,27461.416666666668,25505.240882934613,26770.172208150983,26487.80889003287
2021-12-20 09:00:00,26568.0,25495.576795996076,25989.646339286148,25657.3376178673
2021-12-20 10:00:00,25481.583333333332,25486.996488956232,25101.079085945566,24663.399196271566
2021-12-20 11:00:00,24923.75,25480.179366209635,24416.299200490303,23994.390453564127
2021-12-20 12:00:00,25215.25,25475.516745938436,24113.137444787288,23726.59045122832
2021-12-20 13:00:00,25613.333333333332,25473.12015444145,24262.11018295229,23952.109148428794
2021-12-20 14:00:00,26570.916666666668,25472.856226295473,24813.31875880632,24626.32457885869
2021-12-20 15:00:00,26958.583333333332,25474.400342442637,25854.298412385022,25658.945096205847
2021-12-20 16:00:00,28102.083333333332,25477.300559994852,27579.283838826042,27110.127349668313
2021-12-20 17:00:00,30002.75,25481.04374879568,29785.58378982071,29244.57546239855
2021-12-20 18:00:00,30119.416666666668,25485.116959831183,29930.157863336928,29355.752338683775
2021-12-20 19:00:00,29761.0,25489.058675220385,29503.845535157056,28907.732197844663
2021-12-20 20:00:00,29079.0,25492.4964816336,28912.47263279587,28306.36792324393
2021-12-20 21:00:00,28114.75,25495.16963540384,27965.51688194772,27346.435683632048
2021-12-20 22:00:00,26263.25,25496.936750082987,26339.020914801964,25717.90024821566
2021-12-20 23:00:00,24409.916666666668,25497.770286533734,24609.46153051715,23984.57855825456
2021-12-21 00:00:00,23077.0,25497.740568488764,23397.500775457338,22773.498844875598
2021-12-21 01:00:00,22137.0,25496.99264550032,22559.906652850153,21942.942560478965
2021-12-21 02:00:00,21594.25,25495.719493515484,22062.20246685148,21446.50521040125
2021-12-21 03:00:00,21459.333333333332,25494.13483500223,21908.69858597215,21299.659766569643
2021-12-21 04:00:00,21907.75,25492.44835842982,22327.24282072102,21726.56966405506
2021-12-21 05:00:00,23084.083333333332,25490.84541952875,23580.72261586218,22995.428019248036
